user_id,timestamp,channel,campaign,conversion
101,1/1/2025 9:00,Facebook Ads,Winter Sale,0
101,1/2/2025 10:30,Google Ads,Brand Search,0
101,1/3/2025 14:15,Organic Search,SEO Blog,1
102,1/2/2025 8:45,TikTok Ads,UGC Campaign,0
102,1/3/2025 11:00,Facebook Ads,Retargeting,1
103,1/5/2025 12:00,Google Ads,Competitor Search,0
103,1/6/2025 16:20,Google Ads,Brand Search,0
103,1/7/2025 18:10,Facebook Ads,Winter Sale,1
104,1/8/2025 9:30,Organic Search,Organic Landing,1
105,1/10/2025 10:00,TikTok Ads,Influencer Push,0
105,1/11/2025 15:45,Google Ads,Generic Search,1
